year,ronda,piloto_id,constructor_id,puntos,posicion,posicion_inicial,vueltas,status,gap,vuelta_rapida,velocidad_punta_kph
2020,2,perez,racing_point,8,6,17,71,Finished,+1:02.387,1:07.188,231.362
2020,2,stroll,racing_point,6,7,12,71,Finished,+1:02.453,1:07.833,229.162
2020,2,ricciardo,renault,4,8,8,71,Finished,+1:02.591,1:07.832,229.166
2020,2,sainz,mclaren,3,9,3,70,+1 Lap,NA,1:05.619,236.894
2020,2,kvyat,alphatauri,1,10,13,70,+1 Lap,NA,1:08.378,227.336
2020,2,raikkonen,alfa,0,11,16,70,+1 Lap,NA,1:08.382,227.322
2020,2,kevin_magnussen,haas,0,12,15,70,+1 Lap,NA,1:08.009,228.569
2020,2,grosjean,haas,0,13,0,70,+1 Lap,NA,1:08.047,228.442
2020,2,giovinazzi,alfa,0,14,19,70,+1 Lap,NA,1:08.512,226.891
2020,2,gasly,alphatauri,0,15,7,70,+1 Lap,NA,1:07.827,229.183
2020,2,russell,williams,0,16,11,69,+2 Laps,NA,1:08.601,226.597
2020,2,latifi,williams,0,17,18,69,+2 Laps,NA,1:08.806,225.922
2020,2,ocon,renault,0,18,5,25,Overheating,NA,1:09.321,224.243
2020,2,leclerc,ferrari,0,19,14,4,Collision damage,NA,1:35.379,162.979
2020,2,vettel,ferrari,0,20,10,1,Collision damage,NA,NA,NA
2020,3,hamilton,mercedes,26,1,1,70,Finished,1:36:12.473,1:16.627,205.823
2020,3,max_verstappen,red_bull,18,2,7,70,Finished,+8.702,1:19.184,199.176
2020,3,bottas,mercedes,15,3,2,70,Finished,+9.452,1:17.665,203.072
2020,3,stroll,racing_point,12,4,3,70,Finished,+57.579,1:18.973,199.708
2020,3,albon,red_bull,10,5,13,70,Finished,+1:18.316,1:19.440,198.534
2020,3,vettel,ferrari,8,6,5,69,+1 Lap,NA,1:20.363,196.254
2020,3,perez,racing_point,6,7,4,69,+1 Lap,NA,1:20.090,196.923
2020,3,ricciardo,renault,4,8,11,69,+1 Lap,NA,1:19.532,198.305
2020,3,sainz,mclaren,2,9,9,69,+1 Lap,NA,1:20.477,195.976
2020,3,kevin_magnussen,haas,1,10,0,69,+1 Lap,NA,1:19.457,198.492
2020,3,leclerc,ferrari,0,11,6,69,+1 Lap,NA,1:20.821,195.142
2020,3,kvyat,alphatauri,0,12,17,69,+1 Lap,NA,1:20.946,194.841
2020,3,norris,mclaren,0,13,8,69,+1 Lap,NA,1:19.945,197.280
2020,3,ocon,renault,0,14,14,69,+1 Lap,NA,1:20.261,196.503
2020,3,raikkonen,alfa,0,15,20,69,+1 Lap,NA,1:20.889,194.978
2020,3,grosjean,haas,0,16,0,69,+1 Lap,NA,1:20.232,196.574
2020,3,giovinazzi,alfa,0,17,19,69,+1 Lap,NA,1:20.096,196.908
2020,3,russell,williams,0,18,12,69,+1 Lap,NA,1:19.984,197.184
2020,3,latifi,williams,0,19,15,65,+5 Laps,NA,1:21.198,194.236
2020,3,gasly,alphatauri,0,20,10,15,Engine,NA,1:23.939,187.893
2020,4,hamilton,mercedes,25,1,1,52,Finished,1:28:01.283,1:29.238,237.652
2020,4,max_verstappen,red_bull,19,2,3,52,Finished,+5.856,1:27.097,243.494
2020,4,leclerc,ferrari,15,3,4,52,Finished,+18.474,1:29.813,236.130
2020,4,ricciardo,renault,12,4,8,52,Finished,+19.650,1:29.482,237.004
2020,4,norris,mclaren,10,5,5,52,Finished,+22.277,1:30.058,235.488
2020,4,ocon,renault,8,6,9,52,Finished,+26.937,1:29.491,236.980
2020,4,gasly,alphatauri,6,7,11,52,Finished,+31.188,1:29.603,236.684
2020,4,albon,red_bull,4,8,12,52,Finished,+32.670,1:28.689,239.123
2020,4,stroll,racing_point,2,9,6,52,Finished,+37.311,1:30.475,234.402
2020,4,vettel,ferrari,1,10,10,52,Finished,+41.857,1:30.537,234.242
2020,4,bottas,mercedes,0,11,2,52,Finished,+42.167,1:29.265,237.580
2020,4,russell,williams,0,12,20,52,Finished,+52.004,1:30.862,233.404
2020,4,sainz,mclaren,0,13,7,52,Finished,+53.370,1:29.948,235.776
2020,4,giovinazzi,alfa,0,14,15,52,Finished,+54.205,1:30.977,233.109
2020,4,latifi,williams,0,15,18,52,Finished,+54.549,1:30.501,234.335
2020,4,grosjean,haas,0,16,17,52,Finished,+55.050,1:29.782,236.212
2020,4,raikkonen,alfa,0,17,16,51,+1 Lap,NA,1:29.973,235.710
2020,4,kvyat,alphatauri,0,18,19,11,Accident,NA,1:32.443,229.412
2020,4,kevin_magnussen,haas,0,19,14,1,Collision,NA,NA,NA
2020,4,hulkenberg,racing_point,0,20,13,0,Power Unit,NA,NA,NA
2020,5,max_verstappen,red_bull,25,1,4,52,Finished,1:19:41.993,1:29.465,237.049
2020,5,hamilton,mercedes,19,2,2,52,Finished,+11.326,1:28.451,239.766
2020,5,bottas,mercedes,15,3,1,52,Finished,+19.231,1:29.765,236.256
2020,5,leclerc,ferrari,12,4,8,52,Finished,+29.289,1:30.552,234.203
2020,5,albon,red_bull,10,5,9,52,Finished,+39.146,1:29.477,237.017
2020,5,stroll,racing_point,8,6,6,52,Finished,+42.538,1:30.877,233.365
2020,5,hulkenberg,racing_point,6,7,3,52,Finished,+55.951,1:30.087,235.412
2020,5,ocon,renault,4,8,14,52,Finished,+1:04.773,1:30.575,234.144
2020,5,norris,mclaren,2,9,10,52,Finished,+1:05.544,1:30.698,233.826
2020,5,kvyat,alphatauri,1,10,16,52,Finished,+1:09.669,1:30.738,233.723
2020,5,gasly,alphatauri,0,11,7,52,Finished,+1:10.642,1:30.092,235.399
2020,5,vettel,ferrari,0,12,11,52,Finished,+1:13.370,1:30.785,233.602
2020,5,sainz,mclaren,0,13,12,52,Finished,+1:14.070,1:30.556,234.193
2020,5,ricciardo,renault,0,14,5,51,+1 Lap,NA,1:31.168,232.621
2020,5,raikkonen,alfa,0,15,20,51,+1 Lap,NA,1:31.756,231.130
2020,5,grosjean,haas,0,16,13,51,+1 Lap,NA,1:30.793,233.581
2020,5,giovinazzi,alfa,0,17,19,51,+1 Lap,NA,1:31.826,230.954
2020,5,russell,williams,0,18,15,51,+1 Lap,NA,1:31.408,232.010
2020,5,latifi,williams,0,19,18,51,+1 Lap,NA,1:29.950,235.770
2020,5,kevin_magnussen,haas,0,20,17,43,Retired,NA,1:31.830,230.944
2020,6,hamilton,mercedes,25,1,1,66,Finished,1:31:45.279,1:19.822,209.942
2020,6,max_verstappen,red_bull,18,2,3,66,Finished,+24.177,1:21.477,205.677
2020,6,bottas,mercedes,16,3,2,66,Finished,+44.752,1:18.183,214.343
2020,6,stroll,racing_point,12,4,5,65,+1 Lap,NA,1:22.024,204.306
2020,6,perez,racing_point,10,5,4,65,+1 Lap,NA,1:22.515,203.090
2020,6,sainz,mclaren,8,6,7,65,+1 Lap,NA,1:21.771,204.938
2020,6,vettel,ferrari,6,7,11,65,+1 Lap,NA,1:22.707,202.618
2020,6,albon,red_bull,4,8,6,65,+1 Lap,NA,1:22.194,203.883
2020,6,gasly,alphatauri,2,9,10,65,+1 Lap,NA,1:22.543,203.021
2020,6,norris,mclaren,1,10,8,65,+1 Lap,NA,1:22.392,203.393
2020,6,ricciardo,renault,0,11,13,65,+1 Lap,NA,1:22.464,203.215
2020,6,kvyat,alphatauri,0,12,12,65,+1 Lap,NA,1:22.336,203.531
2020,6,ocon,renault,0,13,15,65,+1 Lap,NA,1:22.174,203.933
2020,6,raikkonen,alfa,0,14,14,65,+1 Lap,NA,1:21.888,204.645
2020,6,kevin_magnussen,haas,0,15,16,65,+1 Lap,NA,1:23.474,200.757
2020,6,giovinazzi,alfa,0,16,20,65,+1 Lap,NA,1:21.801,204.863
2020,6,russell,williams,0,17,18,65,+1 Lap,NA,1:22.503,203.119
2020,6,latifi,williams,0,18,19,64,+2 Laps,NA,1:22.030,204.291
2020,6,grosjean,haas,0,19,17,64,+2 Laps,NA,1:20.409,208.409
2020,6,leclerc,ferrari,0,20,9,38,Electronics,NA,1:23.968,199.576
2020,7,hamilton,mercedes,25,1,1,44,Finished,1:24:08.761,1:47.758,233.990
2020,7,bottas,mercedes,18,2,2,44,Finished,+8.448,1:47.983,233.503
2020,7,max_verstappen,red_bull,15,3,3,44,Finished,+15.455,1:48.305,232.809
2020,7,ricciardo,renault,13,4,4,44,Finished,+18.877,1:47.483,234.589
2020,7,ocon,renault,10,5,6,44,Finished,+40.650,1:48.540,232.305
2020,7,albon,red_bull,8,6,5,44,Finished,+42.712,1:48.736,231.886
2020,7,norris,mclaren,6,7,10,44,Finished,+43.774,1:48.552,232.279
2020,7,gasly,alphatauri,4,8,12,44,Finished,+47.371,1:47.839,233.815
2020,7,stroll,racing_point,2,9,9,44,Finished,+52.603,1:49.136,231.036
2020,7,perez,racing_point,1,10,8,44,Finished,+53.179,1:48.389,232.628
2020,7,kvyat,alphatauri,0,11,11,44,Finished,+1:10.200,1:49.832,229.572
2020,7,raikkonen,alfa,0,12,16,44,Finished,+1:11.504,1:49.822,229.593
2020,7,vettel,ferrari,0,13,14,44,Finished,+1:12.894,1:49.958,229.309
2020,7,leclerc,ferrari,0,14,13,44,Finished,+1:14.920,1:47.840,233.813
2020,7,grosjean,haas,0,15,17,44,Finished,+1:16.793,1:50.018,229.184
2020,7,latifi,williams,0,16,19,44,Finished,+1:17.795,1:48.048,233.362
2020,7,kevin_magnussen,haas,0,17,20,44,Finished,+1:25.540,1:48.083,233.287
2020,7,giovinazzi,alfa,0,18,18,9,Accident,NA,1:51.793,225.545
2020,7,russell,williams,0,19,15,9,Debris,NA,1:51.754,225.624
2020,7,sainz,mclaren,0,20,7,0,Exhaust,NA,NA,NA
2020,8,gasly,alphatauri,25,1,10,53,Finished,1:47:06.056,1:24.037,248.162
2020,8,sainz,mclaren,18,2,3,53,Finished,+0.415,1:23.882,248.620
2020,8,stroll,racing_point,15,3,8,53,Finished,+3.358,1:23.897,248.576
2020,8,norris,mclaren,12,4,6,53,Finished,+6.000,1:24.232,247.587
2020,8,bottas,mercedes,10,5,2,53,Finished,+7.108,1:23.961,248.386
2020,8,ricciardo,renault,8,6,7,53,Finished,+8.391,1:23.898,248.573
2020,8,hamilton,mercedes,7,7,1,53,Finished,+17.245,1:22.746,252.033
2020,8,ocon,renault,4,8,12,53,Finished,+18.691,1:24.490,246.831
2020,8,kvyat,alphatauri,2,9,11,53,Finished,+22.208,1:24.479,246.863
2020,8,perez,racing_point,1,10,4,53,Finished,+23.224,1:24.336,247.282
2020,8,latifi,williams,0,11,20,53,Finished,+32.876,1:24.999,245.353
2020,8,grosjean,haas,0,12,16,53,Finished,+35.164,1:24.785,245.972
2020,8,raikkonen,alfa,0,13,14,53,Finished,+36.312,1:24.835,245.827
2020,8,russell,williams,0,14,19,53,Finished,+36.593,1:24.421,247.033
2020,8,albon,red_bull,0,15,9,53,Finished,+37.533,1:24.926,245.564
2020,8,giovinazzi,alfa,0,16,18,53,Finished,+55.199,1:24.856,245.766
2020,8,max_verstappen,red_bull,0,17,5,30,Power Unit,NA,1:25.539,243.804
2020,8,leclerc,ferrari,0,18,13,23,Accident,NA,1:26.026,242.424
2020,8,kevin_magnussen,haas,0,19,15,17,Power Unit,NA,1:25.787,243.099
2020,8,vettel,ferrari,0,20,17,6,Brakes,NA,1:27.107,239.415
2020,9,hamilton,mercedes,26,1,1,59,Finished,2:19:35.060,1:18.833,239.518
2020,9,bottas,mercedes,18,2,2,59,Finished,+4.880,1:19.432,237.712
2020,9,albon,red_bull,15,3,4,59,Finished,+8.064,1:20.039,235.909
2020,9,ricciardo,renault,12,4,8,59,Finished,+10.417,1:20.426,234.774
2020,9,perez,racing_point,10,5,7,59,Finished,+15.650,1:20.632,234.175
2020,9,norris,mclaren,8,6,11,59,Finished,+18.883,1:21.198,232.542
2020,9,kvyat,alphatauri,6,7,12,59,Finished,+21.756,1:21.458,231.800
2020,9,leclerc,ferrari,4,8,5,59,Finished,+28.345,1:21.229,232.453
2020,9,raikkonen,alfa,2,9,13,59,Finished,+29.770,1:21.164,232.640
2020,9,vettel,ferrari,1,10,14,59,Finished,+29.983,1:21.202,232.531
2020,9,russell,williams,0,11,18,59,Finished,+32.404,1:21.645,231.269
2020,9,grosjean,haas,0,12,15,59,Finished,+42.036,1:22.263,229.532
2020,9,stroll,racing_point,0,13,6,42,Puncture,NA,1:22.068,230.077
2020,9,ocon,renault,0,14,10,7,Brakes,NA,2:11.793,143.270
2020,9,latifi,williams,0,15,19,6,Collision,NA,2:11.365,143.736
2020,9,kevin_magnussen,haas,0,16,20,5,Collision,NA,2:13.812,141.108
2020,9,giovinazzi,alfa,0,17,17,5,Collision,NA,2:13.809,141.111
2020,9,sainz,mclaren,0,18,9,5,Collision,NA,2:14.103,140.802
2020,9,max_verstappen,red_bull,0,19,3,0,Collision,NA,NA,NA
2020,9,gasly,alphatauri,0,20,16,0,Collision,NA,NA,NA
2020,10,bottas,mercedes,26,1,3,53,Finished,1:34:00.364,1:37.030,216.972
2020,10,max_verstappen,red_bull,18,2,2,53,Finished,+7.729,1:37.332,216.298
2020,10,hamilton,mercedes,15,3,1,53,Finished,+22.729,1:38.075,214.660
2020,10,perez,racing_point,12,4,4,53,Finished,+30.558,1:38.141,214.515
2020,10,ricciardo,renault,10,5,5,53,Finished,+52.065,1:37.886,215.074
2020,10,leclerc,ferrari,8,6,10,53,Finished,+1:02.186,1:39.053,212.540
2020,10,ocon,renault,6,7,7,53,Finished,+1:08.006,1:39.216,212.191
2020,10,kvyat,alphatauri,4,8,11,53,Finished,+1:08.740,1:39.133,212.369
2020,10,gasly,alphatauri,2,9,9,53,Finished,+1:29.766,1:37.231,216.523
2020,10,albon,red_bull,1,10,15,53,Finished,+1:37.860,1:38.377,214.001
2020,10,giovinazzi,alfa,0,11,17,52,+1 Lap,NA,1:39.766,211.021
2020,10,kevin_magnussen,haas,0,12,18,52,+1 Lap,NA,1:40.380,209.731
2020,10,vettel,ferrari,0,13,14,52,+1 Lap,NA,1:39.588,211.398
2020,10,raikkonen,alfa,0,14,19,52,+1 Lap,NA,1:38.858,212.960
2020,10,norris,mclaren,0,15,8,52,+1 Lap,NA,1:37.377,216.198
2020,10,latifi,williams,0,16,20,52,+1 Lap,NA,1:41.044,208.352
2020,10,grosjean,haas,0,17,16,52,+1 Lap,NA,1:39.614,211.343
2020,10,russell,williams,0,18,13,52,+1 Lap,NA,1:37.352,216.254
2020,10,sainz,mclaren,0,19,6,0,Accident,NA,NA,NA
2020,10,stroll,racing_point,0,20,12,0,Collision,NA,NA,NA
2020,11,hamilton,mercedes,25,1,2,60,Finished,1:35:49.641,1:28.145,210.253
2020,11,max_verstappen,red_bull,19,2,3,60,Finished,+4.470,1:28.139,210.267
2020,11,ricciardo,renault,15,3,6,60,Finished,+14.613,1:29.584,206.876
2020,11,perez,racing_point,12,4,9,60,Finished,+16.070,1:29.700,206.608
2020,11,sainz,mclaren,10,5,10,60,Finished,+21.905,1:30.129,205.625
2020,11,gasly,alphatauri,8,6,12,60,Finished,+22.766,1:30.110,205.668
2020,11,leclerc,ferrari,6,7,4,60,Finished,+30.814,1:30.712,204.303
2020,11,hulkenberg,racing_point,4,8,20,60,Finished,+32.596,1:30.733,204.256
2020,11,grosjean,haas,2,9,16,60,Finished,+39.081,1:31.562,202.407
2020,11,giovinazzi,alfa,1,10,14,60,Finished,+40.035,1:30.909,203.861
2020,11,vettel,ferrari,0,11,11,60,Finished,+40.810,1:30.408,204.990
2020,11,raikkonen,alfa,0,12,19,60,Finished,+41.476,1:30.512,204.755
2020,11,kevin_magnussen,haas,0,13,15,60,Finished,+49.585,1:30.456,204.881
2020,11,latifi,williams,0,14,18,60,Finished,+54.449,1:31.377,202.816
2020,11,kvyat,alphatauri,0,15,13,60,Finished,+55.588,1:32.214,200.975
2020,11,norris,mclaren,0,16,8,42,Power Unit,NA,1:32.328,200.727
2020,11,albon,red_bull,0,17,5,23,Radiator,NA,1:32.330,200.723
2020,11,ocon,renault,0,18,7,22,Gearbox,NA,1:33.189,198.873
2020,11,bottas,mercedes,0,19,1,18,Power Unit,NA,1:31.884,201.697
2020,11,russell,williams,0,20,17,12,Collision,NA,1:34.526,196.060
2020,12,hamilton,mercedes,26,1,1,66,Finished,1:29:56.828,1:18.750,212.708
2020,12,bottas,mercedes,18,2,2,66,Finished,+25.592,1:19.345,211.113
2020,12,max_verstappen,red_bull,15,3,3,66,Finished,+34.508,1:19.854,209.767
2020,12,leclerc,ferrari,12,4,4,66,Finished,+1:05.312,1:20.408,208.322
2020,12,gasly,alphatauri,10,5,9,65,+1 Lap,NA,1:20.551,207.952
2020,12,sainz,mclaren,8,6,7,65,+1 Lap,NA,1:20.268,208.685
2020,12,perez,racing_point,6,7,5,65,+1 Lap,NA,1:20.802,207.306
2020,12,ocon,renault,4,8,11,65,+1 Lap,NA,1:20.859,207.160
2020,12,ricciardo,renault,2,9,10,65,+1 Lap,NA,1:20.906,207.040
2020,12,vettel,ferrari,1,10,15,65,+1 Lap,NA,1:20.731,207.489
2020,12,raikkonen,alfa,0,11,16,65,+1 Lap,NA,1:21.058,206.652
2020,12,albon,red_bull,0,12,6,65,+1 Lap,NA,1:19.890,209.673
2020,12,norris,mclaren,0,13,8,65,+1 Lap,NA,1:19.360,211.073
2020,12,russell,williams,0,14,14,65,+1 Lap,NA,1:20.882,207.101
2020,12,giovinazzi,alfa,0,15,17,65,+1 Lap,NA,1:21.893,204.544
2020,12,kevin_magnussen,haas,0,16,19,65,+1 Lap,NA,1:21.460,205.632
2020,12,grosjean,haas,0,17,18,65,+1 Lap,NA,1:21.664,205.118
2020,12,latifi,williams,0,18,20,64,+2 Laps,NA,1:21.859,204.629
2020,12,kvyat,alphatauri,0,19,13,64,+2 Laps,NA,1:20.449,208.216
2020,12,stroll,racing_point,0,20,12,51,Collision damage,NA,1:21.694,205.043
2020,13,hamilton,mercedes,26,1,2,63,Finished,1:28:32.430,1:15.484,234.121
2020,13,bottas,mercedes,18,2,1,63,Finished,+5.783,1:15.902,232.831
2020,13,ricciardo,renault,15,3,5,63,Finished,+14.320,1:17.552,227.878
2020,13,kvyat,alphatauri,12,4,8,63,Finished,+15.141,1:17.666,227.543
2020,13,leclerc,ferrari,10,5,7,63,Finished,+19.111,1:18.173,226.067
2020,13,perez,racing_point,8,6,11,63,Finished,+19.652,1:18.084,226.325
2020,13,sainz,mclaren,6,7,10,63,Finished,+20.230,1:18.118,226.226
2020,13,norris,mclaren,4,8,9,63,Finished,+21.131,1:18.069,226.368
2020,13,raikkonen,alfa,2,9,18,63,Finished,+22.224,1:18.088,226.313
2020,13,giovinazzi,alfa,1,10,20,63,Finished,+26.398,1:18.794,224.286
2020,13,latifi,williams,0,11,19,63,Finished,+27.135,1:18.719,224.499
2020,13,vettel,ferrari,0,12,14,63,Finished,+28.453,1:17.767,227.248
2020,13,stroll,racing_point,0,13,15,63,Finished,+29.163,1:18.360,225.528
2020,13,grosjean,haas,0,14,16,63,Finished,+32.935,1:18.822,224.206
2020,13,albon,red_bull,0,15,6,63,Finished,+57.284,1:16.177,231.991
2020,13,russell,williams,0,16,13,51,Accident,NA,1:18.811,224.237
2020,13,max_verstappen,red_bull,0,17,3,50,Puncture,NA,1:17.637,227.628
2020,13,kevin_magnussen,haas,0,18,17,47,Illness,NA,1:19.273,222.930
2020,13,ocon,renault,0,19,12,27,Gearbox,NA,1:19.606,221.998
2020,13,gasly,alphatauri,0,20,4,8,Water pressure,NA,1:20.403,219.797
2020,14,hamilton,mercedes,25,1,6,58,Finished,1:42:19.313,1:39.413,193.302
2020,14,perez,racing_point,18,2,3,58,Finished,+31.633,1:40.392,191.417
2020,14,vettel,ferrari,15,3,11,58,Finished,+31.960,1:39.662,192.819
2020,14,leclerc,ferrari,12,4,12,58,Finished,+33.858,1:39.961,192.242
2020,14,sainz,mclaren,10,5,15,58,Finished,+34.363,1:38.754,194.592
2020,14,max_verstappen,red_bull,8,6,2,58,Finished,+44.873,1:38.431,195.231
2020,14,albon,red_bull,6,7,4,58,Finished,+46.484,1:39.099,193.915
2020,14,norris,mclaren,5,8,14,58,Finished,+1:01.259,1:36.806,198.508
2020,14,stroll,racing_point,2,9,1,58,Finished,+1:12.353,1:39.921,192.319
2020,14,ricciardo,renault,1,10,5,58,Finished,+1:35.460,1:40.677,190.875
2020,14,ocon,renault,0,11,7,57,+1 Lap,NA,1:41.006,190.254
